current_system,disposition,reason,enabled_addition,evidence_boundary
"MRI magnet, gradients and RF chain",Retain,Physical signal generation and safety remain governed by MRI physics and regulation.,"Query-first sequence control, adaptive support, direct quantitative parameter estimation and lineage-aware workflow.",Full replacement unsupported; narrow task-specific MR instruments are a frontier.
MRI image reconstruction,Partially replace for bounded tasks,Images remain valuable and clinically entrenched.,Direct parameter or event queries can precede or bypass full images for validated narrow questions.,"Must compare diagnostic performance, uncertainty, scan time and safety."
ASML EUV projection tool,Retain,"The event calculus does not create 13.5 nm light, mirrors, stages or resist chemistry.","Add event-native control, local hotspot solving, lineage and photonic metrology kernels.",Claims that slower chips make EUV unnecessary are rejected without system evidence.
Computational lithography/OPC/SMO,Augment and selectively replace,Current tools already use physics and optimization.,"Use local support, typed guards, reduced-order relation families and branch provenance.",Must preserve full-chip and long-range effects.
EHR database and documents,Add a substrate beneath,FHIR resources and documents remain exchange and presentation standards.,"Use a person lineage, event graph, consent/compatibility and auditable absence across life stages.",Never reduce the person to a diagnosis or one snapshot.
Hospital dashboards,Partially replace as authority,Dashboards are views and can be stale.,Derive them from event/lineage state and explicit expected actions.,Clinical judgment and operational governance remain human.
Uniform-sampling ADC,Partially replace for sparse signals,Uniform sampling is robust and general.,Use level-crossing/event conversion with reference sampling and fallback.,No event is meaningful only with verified coverage.
Raster/raymarch world store,Replace as authority in bounded worlds,Raster/ray methods remain useful for display.,"Store/query relations, events and lineage; materialize images only when needed.",Hard geometry may still require conventional solvers.
Dense global linear algebra,"Reduce, route and hybridize",Linear algebra remains essential.,"Avoid unnecessary global tensors through support pruning, structured solvers and analog/photonic kernels.","End-to-end I/O, precision and calibration decide value."
SCADA/historian,Add event twin and provenance,Historians remain important evidence sources.,"Compile continuous state, next-event guards, expected responses and lineage.",Do not discard raw evidence around incidents.
Pipeline CPM,Augment,"CPM already models pressure, flow, temperature and equipment.","Add explicit compatibility, uncertainty, negative events and response lineage.",Must meet regulation and controlled validation.
PV monitoring and inverter control,Augment,Established grid-control standards remain authoritative.,"Add local support, event-native fault detection, lineage and events/J metrics.",Low-level protections remain certified.
WMS/WES inventory snapshots,Add/partially replace state history,Operational systems remain transaction engines.,"Use visibility events, lineage and expected scans to reconstruct physical truth.",Reader coverage and human exceptions must be modeled.
Municipal CRM/311,Add obligation and evidence layer,Existing channels remain citizen interfaces.,"Link service request, asset, SLA, work, inspection, closure and absence.",Prevent closure gaming and digital exclusion.
City data lake,Add purpose-separated event spaces,Data platforms remain useful storage.,"Use compatibility/purpose predicates, provenance, branch isolation and local community support.",Avoid surveillance and unauthorized joins.
Mental-health record,Augment,Clinical care cannot be automated by geometry.,"Use patient-controlled longitudinal events, dimensional measures and consent.",No inference from silence; no autonomous diagnosis or treatment.
Research paper/PDF as sole record,Replace as sole authority,Documents remain human-readable views.,Maintain claim-evidence-provenance graph and generate documents from it.,Scholarly interpretation and debate remain human.
General-purpose optical computer,Do not claim,Photonic components can accelerate stable transforms.,Use narrow calibrated relation kernels with digital sidecar and fallback.,"Zero heat, zero power and universal computation are rejected."
