id,name,equation,domain,origin,meaning,requirements,source
EQW-01,Projective-phase state manifold,Q = P^n × R_time × S_phase × Z2_sheet × A_address × B_branch,state model,source,"State includes position, time, phase, sheet, lineage address and branch.",Define each factor and admissible states.,Chronological pp.5-6
EQW-02,Entity state,"q_e(t) = (x_e(t), t, φ_e(t), σ_e(t), a_e, b_e)",state model,source,"Entity trajectory augmented with phase, sheet, address and branch.","Units, topology and update rules.",Chronological p.6
EQW-03,World tuple,"W = (G, R, T, I)",state model,source,"Finite grammar, relations, transitions and invariants.",Operational definitions.,Chronological p.6
EQW-04,Relation surface,R_j(q; θ_j) = 0,event logic,source,Implicit relation/guard surface.,"Regularity, parameters, root method.",Chronological p.6
EQW-05,Support constraint,"C_α(q,t) ≤ 0",event logic,source,Local cone/hourglass support admits a candidate.,Bounded geometry and tolerance.,Chronological pp.6-7
EQW-06,Compatibility predicate,"χ(e,j,t) ∈ {0,1}",event logic,source,"Gates interaction by mode, phase, sheet, address or policy.",Schema and false accept/reject criteria.,Chronological p.6
EQW-07,Next compatible event,"t* = min{t ≥ t0 : R_j(q_e(t))=0, C_α≤0, χ=1}",event logic,source,Earliest root that is supported and compatible.,"Root existence, ordering, tangency handling.",Chronological p.6
EQW-08,Transition update,"q_e(t*+) = T_j(q_e(t*−), context)",hybrid dynamics,source,Apply discrete transition at a continuous event.,Invariant preservation and branch rules.,Chronological p.6
OPT-01,Frequency-domain Maxwell equation,"∇×μ_r^−1∇×E − k0² ε_r(r,u)E = 0",electromagnetics,source formalization,Solve the optical field in the actuated dielectric geometry.,"Boundary conditions, dispersion and loss.",Spherical Throughput p.5
OPT-02,Coupled-mode evolution,"da_m/dz = −(α_m/2 + jβ_m)a_m − j Σ_(n≠m) κ_mn(u,λ)a_n",photonics,source formalization,"Tracks attenuation, propagation and coupling of guided modes.",Mode basis and validity of coupled-mode approximation.,Spherical Throughput p.5
FLD-01,Young-Laplace pressure-curvature law,Δp = γ(1/R1 + 1/R2),capillarity,source formalization,Pressure difference controls liquid meniscus curvature.,"Surface tension, radii, contact-angle conditions.",Spherical Throughput p.5
OPT-03,Actuated optical phase,"Δφ(u,λ) = (2π/λ) L Δn_eff(u)",photonics,source formalization,Effective-index change creates phase shift.,"Interaction length, wavelength, calibrated n_eff.",Spherical Throughput p.5
FLD-02,Incompressible Navier-Stokes,ρ(∂_t v + v·∇v) = −∇p + μ∇²v + f_act;  ∇·v = 0,fluid mechanics,source formalization,Dynamic liquid-actuator model when quasi-static curvature is inadequate.,Boundary/initial conditions and constitutive parameters.,Spherical Throughput p.5
OPT-04,Mode overlap efficiency,η_c = |∫_A E_in·E_m* dA|² / [(∫_A|E_in|²dA)(∫_A|E_m|²dA)],photonics,source formalization,Fractional coupling from admitted input field to a chosen mode.,Field normalization and polarization convention.,Spherical Throughput p.5
BCE-01,Bounded Compatibility Event,"t* = inf{t>t0 : S_q=1, χ_q=1, g_q(y,t)=0}",event logic,source formalization,"Declare transition only for supported, compatible guard crossing.","Measured guard, timestamp uncertainty and confidence.",Spherical Throughput p.5
MET-01,Spherical throughput,Θ_sph = N_verified / Δt,measurement,source,Verified events per second.,Report full error/energy/calibration boundary.,Spherical Throughput p.6
