Dimension,Arie_1959_technique,Tom_current_technique,Genuine_overlap,Critical_difference,Present_day_opportunity,Evidence_Arie,Evidence_Tom
Primary object,A population of difunctional molecules and growing polymer chains,"A finite grammar over directly queryable states, relations, phases, sheets, addresses, and branches",Both replace an inventory-first description with rules that generate connectivity,"Molecular reactions are stochastic, irreversible, and thermodynamically constrained; the corpus is a symbolic architecture",Typed graph rewriting linked to measured chemistry and digital lineage,Issued patent plus working examples,Conceptual synthesis and prototype specifications
Topology controlled,"Molecular graph topology: nearly linear chains, low branching, controlled end groups","Operational topology: supports, compatibility sectors, transition surfaces, routing, and lineage",Connectivity changes only through admissible local operations,One concerns covalent bonds; the other concerns information and state coupling,"Multiscale models linking molecular, pore, interface, and information topology",Directly embodied in chemistry,Formally promising but not yet materially validated
Matching condition,Near-equimolar complementary functionality with effective salt accounting,"Compatibility predicate chi over phase, sheet, address, mode, policy, or support",High-value interactions are gated by type and balance rather than mere co-location,"Stoichiometric equivalence is a quantitative global conservation constraint, not a Boolean geometry metaphor",Use explicit conservation laws inside compatibility predicates,Quantitative process window,Explicit logical abstraction
Local event,Phenoxide attack and epoxide ring opening form an ether bond and secondary alcohol,A relation reaches an event surface under support and compatibility constraints,A localized event changes connectivity and state,"Chemical event rates depend on kinetics, diffusion, activation, and concentrations",Reaction-aware hybrid automata and event-sourced chemistry models,Known chemical mechanism,Architecture-level event semantics
Operator or catalyst,Alkaline phenoxide catalysis; the phenolic salt also affects functionality bookkeeping,Transition operator T_j with context and routing state,The operator changes what transitions are reachable without being the final product state,Catalysis changes reaction rates and sometimes composition; symbolic operators need not consume material,Stateful catalytic models with mass-balance-aware event logs,Specified catalyst ranges and examples,General transition formalism
Accessibility or support,Solvent keeps monomers and product mutually accessible; crystallization removes reactive chains,Cone/hourglass/local spherical support limits relevant relations,An entity can be present yet operationally unavailable,"Solubility and phase separation are physical fields, not just query pruning","Support predicates parameterized by transport, concentration, and phase state",Central patent claim,Mature corpus correction
Boundary,"Phase boundary, precipitation, glass/crystal transition, and reaction endpoint",SDF = 0 or B = 0 as an explicit transition surface,Boundary crossing is treated as an event rather than only a location,A signed distance field is a representation; a chemical phase boundary follows thermodynamics and kinetics,Measured guards tied to physical observables and uncertainty,Observed crystallization/viscosity/thermal behavior,Explicit event-surface semantics
One-bit role,No literal one-bit state; practical binary distinctions include reacted/unreacted or soluble/precipitated,"Parity, route, validity, freshness, or compatible/incompatible flag",Binary flags can summarize a transition outcome,"A bit cannot carry concentration, uncertainty, chain length, or morphology",Keep one-bit control narrow and retain continuous state alongside it,Not claimed,Explicitly narrowed in Spherical Throughput
Identity and lineage,"Batch, monomer lot, chain population, and reaction history determine material state",Generative address plus invariant/event history preserves identity,History matters to present function,Individual polymer chains are statistical and not naturally persistent UUID-bearing objects,Digital material passports and batch-to-device lineage,Implicit through process history,Explicit design principle
Termination and closure,"Controlled stoichiometric excess, chain stopper, precipitation, or cooling ends growth","Transition, branch resolution, log append, and invariant update close an event",The system needs explicit closure to prevent uncontrolled continuation,Chemical termination changes molecular composition and distributions,End-state schemas that include material and computational closure,Example 4 chain stopping,Transition/log architecture
Uncertainty,"Impurities, conversion, side reactions, measurement variance, and molecular-weight distributions","Set-valued answers, confidence, certified root solving, and event uncertainty in mature documents",Useful operation requires bounded uncertainty,Early corpus rhetoric sometimes treated analytic form as automatic exactness,Probabilistic or interval-valued guards tied to calibration data,Experimental but historically limited characterization,Explicitly recognized as a requirement
Scaling claim,"Scale depends on mixing, heat removal, solution viscosity, phase stability, and purification",Potential horizon-independent state queries for fixed closed expressions,Avoiding premature materialization can reduce cost,"Universal O(1), zero memory, or no broad phase is unsupported; combinatorics and exogenous novelty remain",Benchmark restricted relation families against frame-stepped and indexed baselines,Process-engineering constraints,Hypothesis with stated bottlenecks
Outputs,"Thermoplastic films, fibres, mouldings, coatings, and reactive hydroxyl-rich material","State-at-time, next-event, reachable-relation, identity, sensing, and verified B.C.E. outputs",Both create a platform whose value lies in downstream interfaces,One output is matter; the other is a query/decision architecture,Smart interfaces whose material state and digital state are co-designed,Demonstrated specimens and properties,Prototype-level architecture
Biomedical relevance,Pendant hydroxyls offer derivatization handles; sulfone raises polarity and thermal stability,"Compatibility-gated sensing, event logging, topology descriptors, and digital twins",Interface function can be encoded chemically and monitored operationally,"The patent does not establish biocompatibility, membrane selectivity, or biological mechanism",Chemically addressable membrane/biointerface plus event-sourced digital twin,Material-platform inference,Architecture opportunity
