source_id,pages,topic,technical_reading
S1,p.1,Interpretive shift,Projection tools are downstream; ontology is queryable relations/events/phases/identities.
S1,pp.5-6,Formal core,"Product state space, event equation, double vacuum, routing visualization."
S1,pp.7-8,Prototype and complexity,"Equation World Zero, bounded horizon independence, numerical risks."
S1,pp.9-10,Graphics boundary,Rasterization/raymarching/tracing contrasted with query semantics.
S1,pp.11-12,Research program,"Bottlenecks, six required queries, exit criteria."
S2,pp.14-17,User correction and analytic core,"No raster/marching; analytic solids, SDF roots, phase and parity."
S2,pp.18-25,Event/routing motifs,"Lighthouse around zero, phase layers, eigenspace, quad hourglass."
S2,pp.26-33,Grammar/memory proposals,"Kinematic calculus, procedural grammar, CCD, UUID and compact-state hypotheses."
S3,pp.1-3,Optical encoding,"Spectra, polar harmonics, logarithmic compression, stacked LUTs."
S3,pp.11-15,Sieve and jitter,"Device-mediated scale, receptor mosaics, micro-jitter and sampling gaps."
S3,pp.16-20,Spherical field proposal,"SDF beyond zero, spherical LUT, grammar, frontend CCD motivation."
S3,pp.30-33,Self-correction,A hard event surface is needed or hidden sampling returns.
S4,pp.1-3,Zero indexing,Offset 35 from zero is the 36th position; arithmetic remains 35.
S4,pp.16-19,Fold/overlap,"Two D/phi shapes, hinge, overlap as intersection, tolerance, or interference."
S5,pp.1-2,Cross-domain synthesis,"Relation algebra, state/event calculus, phase and local spherical support."
S5,pp.6-11,Identity and memory,"Lineage address, Person(t) != Snapshot(t), grammar, log, branch history."
S5,pp.32-33,Double vacuum,"Same position/different sector, compatibility gate, parity and pinch routing."
S5,"pp.47-50,58-64",Hardware prompts,"Etched glass, photonics, liquid lensing, matrix-in-glass."
S6,pp.1-2,Engineering normalization,Retain operators; demote literal topology; reject zero-cost claims.
S6,pp.3-7,Bounded architecture,"Signal path, governing physics, throughput, B.C.E. control."
S6,pp.8-10,Fabrication and kill criteria,"Conventional process, Hollowlens-0, risk register and non-claims."
S7,pp.1-3,Projection adapter,"Log-polar address, SDF/CSG, phase-amplitude edge accumulation, 1-bit output."
S7,pp.4-10,Display and print,"PDM, anisotropic dither, chromatic offsets, CMYK/prepress and dot gain."
