Application,Arie_contribution,Tom_contribution,Near_term_readiness_1_to_5,Evidence_status,First_experiment
Reactive membrane coating or tie layer,Hydroxyl-rich thermoplastic with polar sulfone backbone and post-functionalization potential,"Compatibility-gated operational model, lineage, fouling/threshold event detection",4,Material plausible; application requires formulation and transport testing,"Coat a commercial support, quantify adhesion, flux, selectivity, swelling, extractables, and cleaning stability"
Hemocompatible or antifouling biointerface,"Pendant OH sites for grafting PEG, zwitterions, polysaccharides, peptides, or anticoagulant motifs",Event-based monitoring of adhesion/aggregation plus topology descriptors and traceable surface history,3,Requires full biological safety and surface-function validation,"Compare unmodified, hydroxyl-rich, and derivatized coupons for protein adsorption, platelet adhesion, complement, and cytotoxicity"
Affinity membrane or biosensor,OH handles support immobilization chemistry,Typed analyte-receptor compatibility and bounded guard events,4,Strong conceptual fit; device-specific chemistry needed,"Immobilize a model ligand, measure binding kinetics and false/missed event rate under flow"
Membrane digital twin,Defines a candidate reactive material and process history,"State-at-time, next-event, uncertainty, guard crossings, and lineage",5,Existing digital-twin precedent; corpus contributes an event-centric formulation,"Cross-flow cell with pressure, flux, conductivity, optical fouling, and cleaning events compared against fixed-rate logging"
Pore/morphology topology analytics,Material chemistry can generate evolving porous or phase-separated structures,Topology-first representation and query semantics,4,Persistent homology and scalar-field topology are established analysis tools,"Micro-CT or confocal time series; correlate persistence descriptors with flux, modulus, or fouling onset"
Event-based microfluidics and cytometry,Potential substrate/coating for optical or biological channels,Sparse asynchronous events rather than mandatory global frames,5,Event-camera precedents exist; integration with the specific material is unproven,"Track fluorescent or bright-field particles/cells and benchmark bandwidth, latency, missed events, and classification"
Optofluidic compatibility gate,Reactive polymer coatings or waveguide packaging interfaces,Local spherical support -> mode compatibility -> measured B.C.E.,3,Component classes are established; integrated system claim remains frontier,"Hollowlens-0: liquid coupler, 2x2 interferometer, balanced detector, digital sidecar"
Composite and adhesive interphase,Thermoplastic processing plus reactive OH groups and hydrogen bonding,"Interface lineage, damage-event guards, local support queries",4,Chemically plausible and aligned with phenoxy-resin uses,"Interlaminar fracture, lap-shear, aging, and acoustic-event correlation"
Restricted equation-world physics / computer graphics,Provides a literal example of local graph transformation under constraints,"Direct state/event queries, implicit relations, local supports, and hybrid projection",3,Prototype-worthy for restricted relation families; universal replacement claims unsupported,Equation World Zero with exact/conservative event solver and benchmark against frame stepping/BVH
Digital material passport and process provenance,"Material properties depend strongly on ratios, impurities, temperature, solvent, and reaction history","Generative address, lineage, invariant history, and append-only events",5,Software-ready; requires schema and sensor integration rather than new chemistry,"Batch-to-coupon provenance graph linking raw materials, reaction events, QC, functionalization, sterilization, and tests"
