symbol,name,formula,required_context
CER,Candidate Evaluation Rate,N/device_time,"device,batch,profile,mode,precision"
SET,Spherical Event Throughput,V/device_time,"support,compatibility,guard,confidence,error budget"
ESB,Effective Substrate Bandwidth,N*(input_bytes+output_bytes)/device_time,"logical traffic only; not raw DRAM bandwidth"
SRG,Support Rejection Gain,N/N_support,"support definition"
CRG,Compatibility Rejection Gain,N_support/N_compatible,"compatibility schema"
EY,Event Yield,V/N,"deterministic corpus or workload"
CPC,Cold Pipeline Compilation,cold pipeline creation latency,"driver/device/module"
CPH,Cache-Seeded Pipeline Hydration,cache-seeded pipeline creation latency,"cache portability restricted to matching implementation"
NPF,Native Program Footprint,SPIR-V bytes + implementation-specific cache/binary bytes,"module and driver"
SCR,State Compression Ratio,dense_G64E32/dense_G32E16,"same candidate count"
ECR,Event Compaction Ratio,dense_output/verified_only_output,"event yield; compaction implementation separate"
SNC,State-plus-Novelty Compression,dense_G64E32/(G32_state+compact_E16),"state retained plus verified events"
CCF,Commit Cost Factor,p50_evaluate_commit/p50_evaluate,"same profile and batch"
PCP,Packed Compute Penalty,p50_G32/p50_G64,"same mode, batch and device"
