id,layer,domain,mechanism,source,definition,disposition,validation,implementation
M001,UGTS-GN 1.1 source/normalization baseline,Numeric/encoding,Radix digit threshold,S09 pp.1–3,A digit-count transition occurs at b^k in radix b.,RETAIN,Exact,See supplied UGTS-GN 1.1 package description
M002,UGTS-GN 1.1 source/normalization baseline,Numeric/encoding,Positional power weighting,S09 pp.1–4,Value is Σ digit_k·b^k.,RETAIN,Exact,See supplied UGTS-GN 1.1 package description
M003,UGTS-GN 1.1 source/normalization baseline,Numeric/encoding,Literal binary glyph parse,S01 pp.2–4; S09 pp.3–4,Parser mode is part of the schema; `100₂=4₁₀`.,RETAIN,Exact,See supplied UGTS-GN 1.1 package description
M004,UGTS-GN 1.1 source/normalization baseline,Numeric/encoding,Left-shift pulse placement,S01 pp.4–9,A pulse at bit position k has value 2^k.,RETAIN,Exact,See supplied UGTS-GN 1.1 package description
M005,UGTS-GN 1.1 source/normalization baseline,Numeric/encoding,Zero-based offset/ordinal distinction,S02 pp.1–4,Offset is zero-based; ordinal is offset+1.,RETAIN,Exact,See supplied UGTS-GN 1.1 package description
M006,UGTS-GN 1.1 source/normalization baseline,Numeric/encoding,Active-bit filtering,S09 pp.4–6,Extract set-bit positions or popcount; never change numeric identity silently.,RETAIN,Exact,See supplied UGTS-GN 1.1 package description
M007,UGTS-GN 1.1 source/normalization baseline,Numeric/encoding,Zero as inactive/silence metadata,S09 pp.4–5,"A domain-specific interpretation attached to bit state, not arithmetic.",TRANSLATE,Schema-dependent,See supplied UGTS-GN 1.1 package description
M008,UGTS-GN 1.1 source/normalization baseline,Numeric/encoding,Binary 19 decomposition,S09 pp.3–5,19 = 16+2+1; Hamming weight 3.,RETAIN,Exact,See supplied UGTS-GN 1.1 package description
M009,UGTS-GN 1.1 source/normalization baseline,Numeric/encoding,Phonetic-to-active-count map,S09 pp.4–7,Associate an external label count with popcount under a declared language/tokenizer.,BOUNDED,Corpus-specific,See supplied UGTS-GN 1.1 package description
M010,UGTS-GN 1.1 source/normalization baseline,Numeric/fractal,Pascal parity recurrence,S09 pp.6–9,"Cell parity is C(n,k) mod 2.",RETAIN,Exact,See supplied UGTS-GN 1.1 package description
M011,UGTS-GN 1.1 source/normalization baseline,Numeric/fractal,Sierpiński generation,S09 pp.6–14,Binary parity recurrence yields self- similar triangular occupancy.,RETAIN,Exact,See supplied UGTS-GN 1.1 package description
M012,UGTS-GN 1.1 source/normalization baseline,Numeric/fractal,"Combination count C(5,3)",S09 p.6,Combinatorial count is 10; it is separate from value 19.,RETAIN,Exact,See supplied UGTS-GN 1.1 package description
M013,UGTS-GN 1.1 source/normalization baseline,Numeric/fractal,Power-of-two scale boundary,S09 pp.1–9,Dyadic levels define exact multiresolution boundaries.,RETAIN,Exact,See supplied UGTS-GN 1.1 package description
M014,UGTS-GN 1.1 source/normalization baseline,Glyph encoder,Standard percent semantics boundary,"S01 pp.1,7–8",Default mathematical parser returns 1.0.,RETAIN,Exact,See supplied UGTS-GN 1.1 package description
M015,UGTS-GN 1.1 source/normalization baseline,Glyph encoder,Percent loop decomposition,S01 pp.2–4,Represent glyph as two loop primitives and one slash/stem primitive.,TRANSLATE,Constructive,See supplied UGTS-GN 1.1 package description
M016,UGTS-GN 1.1 source/normalization baseline,Glyph encoder,Slash/phi removal operator,S01 pp.2–4,Delete the slash primitive under an explicit glyph rewrite rule.,TRANSLATE,Rule-defined,See supplied UGTS-GN 1.1 package description
M017,UGTS-GN 1.1 source/normalization baseline,Glyph encoder,Open-loop terminal suppression,S01 pp.6–9,A source-specific encoder suppresses the final active bit when the terminal loop is open.,BOUNDED,Custom rule,See supplied UGTS-GN 1.1 package description
M018,UGTS-GN 1.1 source/normalization baseline,Glyph encoder,100100 concatenation,S01 pp.6–9,Concatenate two 3-bit pulse words to a 6-bit word.,RETAIN,Exact under custom schema,See supplied UGTS-GN 1.1 package description
M019,UGTS-GN 1.1 source/normalization baseline,Glyph encoder,Two-pulse timeline,S01 pp.9–10,Treat set-bit clusters as two events separated by an address interval.,TRANSLATE,Deterministic,See supplied UGTS-GN 1.1 package description
M020,UGTS-GN 1.1 source/normalization baseline,Glyph encoder,Pulse superposition by OR,S01 pp.6–10,Combine non-overlapping pulse masks with bitwise OR.,RETAIN,Exact,See supplied UGTS-GN 1.1 package description
M021,UGTS-GN 1.1 source/normalization baseline,Numeric/encoding,Explicit-width complement,S01 pp.18–22,Complement must specify width and mask; topology route is not unbounded `~x`.,TRANSLATE,Exact when width declared,See supplied UGTS-GN 1.1 package description
M022,UGTS-GN 1.1 source/normalization baseline,Numeric/encoding,Fractional scale correction,S01 pp.11–16,"Multiplication by 1.5 corresponds to a log2 displacement of log2(1.5), not an integer bit shift.",CORRECTED,Exact,See supplied UGTS-GN 1.1 package description
M023,UGTS-GN 1.1 source/normalization baseline,Numeric/encoding,Packed fixed-width record,S06 pp.27–34; S07 pp.26–34,"State fields have declared widths, scales and schemas.",TRANSLATE,Implemented,See supplied UGTS-GN 1.1 package description
M024,UGTS-GN 1.1 source/normalization baseline,Numeric/encoding,Fixed-point financial boundary,S06 pp.27–30,Use fixed-point/decimal for exact currency-like quantities; unrelated to geometry unless typed.,RETAIN,Established,See supplied UGTS-GN 1.1 package description
M025,UGTS-GN 1.1 source/normalization baseline,Topology/control,One-bit parity narrow role,"S05 pp.2,7; S03 pp.5–7","One bit selects a route, orientation or validity convention; continuous state remains separate.",RETAIN,Implemented,See supplied UGTS-GN 1.1 package description
M026,UGTS-GN 1.1 source/normalization baseline,Topology/control,One-bit support mask,S04 pp.1–2,A bit masks candidate sectors; it does not encode full geometry.,RETAIN,Implemented,See supplied UGTS-GN 1.1 package description
M027,UGTS-GN 1.1 source/normalization baseline,Topology/control,Deterministic jitter seed,S04 pp.7–10,Pseudo-random sequence is keyed by lineage/address for replay.,TRANSLATE,Specified,See supplied UGTS-GN 1.1 package description
M028,UGTS-GN 1.1 source/normalization baseline,Glyph geometry,D-to-R cut and unroll,S06/S07/S10 pp.1–2,A curve segment changes constraint class from loop arc to open segment while upper loop remains.,RETAIN,Constructive,See supplied UGTS-GN 1.1 package description
M029,UGTS-GN 1.1 source/normalization baseline,Glyph geometry,B-to-R lower-loop unfurl,S06/S07/S10 p.1,Release one loop edge and map it to an open leg.,RETAIN,Constructive,See supplied UGTS-GN 1.1 package description
M030,UGTS-GN 1.1 source/normalization baseline,Glyph geometry,Phi loop-plus-stem decomposition,S06/S07/S10 pp.1–2,Primitive graph with loop node and axial segment.,RETAIN,Constructive,See supplied UGTS-GN 1.1 package description
M031,UGTS-GN 1.1 source/normalization baseline,Kinematics,Stem as cutting/rotation axis,S06/S07/S10 pp.1–2,"Axis defines local frame, cut plane and rotational reference.",RETAIN,Implemented,See supplied UGTS-GN 1.1 package description
M032,UGTS-GN 1.1 source/normalization baseline,Kinematics,Side-view pyramid as delta triangle,S06/S07/S10 p.2,Use a 2D triangular cross-section for a conical/pyramidal support.,TRANSLATE,Constructive,See supplied UGTS-GN 1.1 package description
M033,UGTS-GN 1.1 source/normalization baseline,Kinematics,Delta-T changing axis,S06/S07/S10 pp.2–4,Store reference axis and time derivative separately.,TRANSLATE,Specified,See supplied UGTS-GN 1.1 package description
M034,UGTS-GN 1.1 source/normalization baseline,Kinematics,Loop-to-line release,S06/S07/S10 pp.2–4,Topology flag selects closed relation vs open parametric segment.,RETAIN,Implemented as route,See supplied UGTS-GN 1.1 package description
M035,UGTS-GN 1.1 source/normalization baseline,Kinematics,Localized parity hinge,S06/S07/S10 pp.3–4,A graph edge toggles while a pivot node remains invariant.,RETAIN,Specified,See supplied UGTS-GN 1.1 package description
M036,UGTS-GN 1.1 source/normalization baseline,Field geometry,Global hinge everywhere,S06/S07/S10 pp.7–8,A field parameter switches or blends two implicit functions over the domain.,TRANSLATE,Specified,See supplied UGTS-GN 1.1 package description
M037,UGTS-GN 1.1 source/normalization baseline,Kinematics,Split zero-centered oval,S02 pp.10–12,Two half-curves share a zero- displacement boundary.,RETAIN,Constructive,See supplied UGTS-GN 1.1 package description
M038,UGTS-GN 1.1 source/normalization baseline,Kinematics,Antisymmetric torsional wave,S02 pp.12–13,Opposite signed displacement about the central hinge.,TRANSLATE,Physical model dependent,See supplied UGTS-GN 1.1 package description
M039,UGTS-GN 1.1 source/normalization baseline,Kinematics,2π unrolled into two π arches,S02 pp.13–15,Partition a periodic path into two half- period intervals.,RETAIN,Exact,See supplied UGTS-GN 1.1 package description
M040,UGTS-GN 1.1 source/normalization baseline,Kinematics,1:1 arch balance,S02 pp.13–15,"Equal interval length; amplitude balance is a model parameter, not universal stability law.",BOUNDED,Conditional,See supplied UGTS-GN 1.1 package description
M041,UGTS-GN 1.1 source/normalization baseline,Overlap geometry,Lens intersection region,S02 pp.16–19,Explicit intersection `A∩B` with area/phase/confidence.,RETAIN,Exact geometry,See supplied UGTS-GN 1.1 package description
M042,UGTS-GN 1.1 source/normalization baseline,Overlap geometry,Constructive interference interpretation,S02 p.18,Combine complex amplitudes where supports intersect.,TRANSLATE,Model dependent,See supplied UGTS-GN 1.1 package description
M043,UGTS-GN 1.1 source/normalization baseline,Overlap geometry,Tolerance/phase-slip buffer,S02 p.18,Overlap width is a measurable alignment or phase-error margin.,TRANSLATE,Measurable,See supplied UGTS-GN 1.1 package description
M044,UGTS-GN 1.1 source/normalization baseline,Overlap geometry,Mutual-information domain,S02 pp.18–19,"Use overlap membership as a join key; mutual information requires distributions, not area alone.",CORRECTED,Conditional,See supplied UGTS-GN 1.1 package description
M045,UGTS-GN 1.1 source/normalization baseline,Metric geometry,Scaled 5–12–13 triangle,S01 p.5,Multiply the Pythagorean triple by 0.3.,RETAIN,Exact,See supplied UGTS-GN 1.1 package description
M046,UGTS-GN 1.1 source/normalization baseline,Metric geometry,Leg ratio 2.4,"S01 pp.5,15",Aspect/torque parameter `q=2.4`.,RETAIN,Exact,See supplied UGTS-GN 1.1 package description
M047,UGTS-GN 1.1 source/normalization baseline,Metric geometry,Torque-cone angle,S01 pp.15–16,Derive cone half-angle from leg ratio under stated triangle convention.,RETAIN,Exact under convention,See supplied UGTS-GN 1.1 package description
M048,UGTS-GN 1.1 source/normalization baseline,Kinematics,Logarithmic spiral step law,S06/S07/S10 pp.5–6,Scale changes exponentially with phase.,TRANSLATE,Parameter dependent,See supplied UGTS-GN 1.1 package description
M049,UGTS-GN 1.1 source/normalization baseline,Coordinate geometry,Base-2 log-radius,S01 pp.16–17; S04 pp.1–2,Multiplicative radial scale becomes additive coordinate displacement.,RETAIN,Implemented concept,See supplied UGTS-GN 1.1 package description
M050,UGTS-GN 1.1 source/normalization baseline,Coordinate geometry,Local spherical chart,S03 pp.5–7; S05 p.3,Use radial-angular coordinates locally around a query/coupler; not a global world replacement.,RETAIN,Canonical,See supplied UGTS-GN 1.1 package description
M051,UGTS-GN 1.1 source/normalization baseline,Support geometry,Cone support,S03 pp.5–7; S08 pp.15–18,Admit candidates satisfying radial reach and angular cosine threshold.,RETAIN,Implemented,See supplied UGTS-GN 1.1 package description
M052,UGTS-GN 1.1 source/normalization baseline,Support geometry,Nested shell support,S03 pp.3–6,Partition radius into ordered intervals for multiscale relevance.,RETAIN,Specified,See supplied UGTS-GN 1.1 package description
