id,domain,title,org,year,url,type,use
C0,Corpus,Topological Cross-Domain Synthesis of the Spherical Substrate Corpus,User-supplied corpus reconstruction,2026,source/Topological_Cross_Domain_Corpus_Report_source.pdf,Corpus source,"Query-first state/event calculus, support, compatibility, lineage, projection boundary, benchmarks and failure criteria."
R1,Biomedical imaging,Magnetic Resonance Imaging (MRI),U.S. FDA,2018,https://www.fda.gov/radiation-emitting-products/medical-imaging/mri-magnetic-resonance-imaging,Official overview,MRI hardware and signal acquisition baseline.
R2,Biomedical imaging,Magnetic resonance imaging (MRI) scans,NIBIB/NIH,current,https://www.nibib.nih.gov/science-education/science-topics/magnetic-resonance-imaging-mri,Official overview,Clinical role and soft-tissue imaging baseline.
R3,Biomedical imaging,Sparse MRI: The application of compressed sensing for rapid MR imaging,"Lustig, Donoho and Pauly",2007,https://doi.org/10.1002/mrm.21391,Primary research,Undersampled MRI and structured reconstruction precedent.
R4,Biomedical imaging,Magnetic resonance fingerprinting,Ma et al.,2013,https://doi.org/10.1038/nature11971,Primary research,Direct quantitative tissue-parameter estimation precedent.
R5,Biomedical safety,Testing and Labeling Medical Devices for Safety in the Magnetic Resonance Environment,U.S. FDA,2023,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/testing-and-labeling-medical-devices-safety-magnetic-resonance-mr-environment,Official guidance,Safety boundary for MRI additions and replacements.
R6,Health information,FHIR R5 Specification,HL7,2023,https://hl7.org/fhir/,Open standard,"Patient, Encounter, EpisodeOfCare, Observation, Consent, Provenance, AuditEvent and subscriptions."
R7,Health information,FHIR Subscription,HL7,2023,https://fhir.hl7.org/fhir/subscription.html,Open standard,Proactive event notifications in health systems.
R8,Health ethics,Ethics and governance of artificial intelligence for health,World Health Organization,2021,https://www.who.int/publications/i/item/9789240029200,Official guidance,"Rights, accountability, transparency and human oversight."
R9,Health ethics,Ethics and governance of artificial intelligence for health: guidance on large multi-modal models,World Health Organization,2025,https://www.who.int/publications/i/item/9789240084759,Official guidance,Governance of multimodal health AI.
R10,Digital health,WHO guideline: recommendations on digital interventions for health system strengthening,World Health Organization,2019,https://www.who.int/publications/i/item/9789241550505,Official guideline,Digital interventions are not substitutes for functioning health systems.
R11,Mental health research,Research Domain Criteria (RDoC) Initiative,NIMH,current,https://www.nimh.nih.gov/research/research-funded-by-nimh/rdoc,Official research framework,"Dimensional, longitudinal and multi-unit mental-health research framing."
R12,Semiconductor manufacturing,Computational lithography,ASML,current,https://www.asml.com/products/computational-lithography,Official technology description,"Scanner, mask and process co-optimization baseline."
R13,Semiconductor manufacturing,EUV lithography systems,ASML,current,https://www.asml.com/products/euv-lithography-systems,Official technology description,EUV/High-NA physical projection system baseline.
R14,Semiconductor manufacturing,ASML and imec open joint High NA EUV Lithography Lab,ASML and imec,2024,https://www.asml.com/news/press-releases/2024/asml-imec-opening-high-na-euv-lithography-lab,Official industry source,Current High-NA ecosystem and process-development context.
R15,Energy grid,"NIST Framework and Roadmap for Smart Grid Interoperability Standards, Release 4.0",NIST,2021,https://doi.org/10.6028/NIST.SP.1108r4,Official framework,"Grid domains, interoperability, testing and certification."
R16,Energy grid,Digital Twin + AI: Control Room of the Future,NREL,2024,https://docs.nrel.gov/docs/fy24osti/87050.pdf,National laboratory report,Power-network digital twin and scenario simulation precedent.
R17,Solar and DER,IEEE 1547-2018 Based Interoperable PV Inverter with Advanced Grid-Support Functions,NREL,2019,https://www.nrel.gov/docs/fy19osti/73131.pdf,National laboratory paper,Interoperable inverter control baseline.
