term,category,source_meaning,technical_translation,status,caveat,source_anchors
double vacuum,state model,Two vacua or spaces at the same location.,"Absence of coupling: co-located states remain isolated because phase, sheet, orientation, address or mode tags are incompatible.",SOURCE-DEFINED OPERATOR,Not a second physical vacuum or guaranteed physical barrier.,"Chronological p.6; Spherical Throughput pp.2,4,7"
phase sheet,state model,Parallel state layer.,"Discrete state label σ, often Z2, that partitions compatibility sectors.",SOURCE-DEFINED OPERATOR,Needs explicit semantics; merely duplicating coordinates is not a physics model.,Chronological pp.5-6
one-bit / parity,state model,Binary transition state.,"Route, sheet, freshness, admission or validity flag under a declared schema.",SOURCE-DEFINED OPERATOR,"The bit is not the full optical, geometric, biological or semantic state.","Spherical Throughput pp.2,7"
invariant,state model,Stable anchor through transitions.,Quantity or relation preserved by specified transformations.,ESTABLISHED SCIENCE,Must be defined and proven for the chosen dynamics.,"Chronological pp.5-7,11-12"
lineage / ontological address,state model,Identity persists through split/merge and coordinate change.,Generative identifier plus parent/transition history.,SOURCE-DEFINED OPERATOR,A proposed data-model concept; 64-bit uniqueness and reconstruction claims require collision and branch rules.,"Chronological pp.5-8,11; ADDominUS pp.7-11"
branch,state model,Alternative transition history.,Discrete path in a hybrid dynamical system or event tree.,ESTABLISHED SCIENCE,Branch explosion is a stated scaling risk.,"Chronological pp.8,11"
finite grammar,computer science,Compact world generator.,"Finite rules that generate relations, trajectories or structures.",SOURCE-DEFINED OPERATOR,Expression size and algebraic closure can grow rapidly.,"Chronological pp.5-8,11-12"
exogenous log,computer science,Store only novelty not generated by the grammar.,Append-only event log of external interventions/shocks used with seed and grammar for reconstruction.,SOURCE-DEFINED OPERATOR,External novelty and branch history still accumulate.,"Chronological pp.6,8,12; ADDominUS pp.10-11"
novelty-proportional memory,computer science,Memory grows with novelty rather than geometric extent.,Regenerate deterministic closed dynamics; log irreducible external events and lineage.,ENGINEERING HYPOTHESIS,Not zero memory; expression and log growth can dominate.,"Chronological p.8; ADDominUS pp.10-11,25"
state_at(t),computer science,Direct state query.,Evaluate a closed or bounded state expression at requested time without replaying all intermediate frames.,BOUNDED ENGINEERING PROPOSAL,"Cost depends on expression size, conditioning and branch history.","Chronological pp.7-8,11"
next_event,computer science,Direct transition query.,Find the earliest compatible root/guard crossing after t0.,BOUNDED ENGINEERING PROPOSAL,"Multiple roots, tangencies, dense events and degeneracies can be hard.","Chronological pp.6-8,11"
0-based indexing,computer science,21+7+7=35 offset reaches the 36th element.,Array position 35 is the 36th item when indexing begins at zero.,ESTABLISHED COMPUTER SCIENCE,This does not change arithmetic; 21+7+7 remains 35.,Ben Burgers pp.1-6
BVH / octree / sieve,computer science,Conventional spatial filter criticized as a trap.,Acceleration structures for pruning spatial intersection candidates.,ESTABLISHED COMPUTER SCIENCE,They are not inherently obsolete; analytic supports and compatibility filters are alternative pruning methods with their own costs.,Hollowland pp.31-32; ADDominUS pp.21-25
CCD,computer science / imaging,Frontend sensor problem and collision tunneling.,Ambiguous acronym: charge-coupled device in imaging; continuous collision detection in simulation.,DECODER DISAMBIGUATION,The corpus deliberately mixes the two meanings.,DMT pp.15-18; Chronological pp.7-10; ADDominUS pp.21-22
raster trap,computer science,Mistaking sampled projection for world ontology.,Critique of frame-by-frame materialization when direct relation/event queries suffice.,SOURCE-DEFINED CRITIQUE,Rasterization and sampling remain valid downstream tools and often necessary numerical methods.,"Chronological pp.1,5,9-10"
log-polar LUT,computer science / optics,Compressed radial-angular lookup field.,Table addressed by ρ=ln r and θ; useful for scale-to-translation mapping and foveated/local processing.,ESTABLISHED TRANSFORM + SOURCE DESIGN,"Quantization, singular origin, interpolation and information loss must be measured.","DMT pp.2-3,9-18; Hollowland pp.12-17; KC Vector Art pp.1-10"
B.C.E.,event logic,Bounded Compatibility Event.,"Emit an event only when support, compatibility and measured guard conditions pass, with confidence and lineage.",SOURCE-DEFINED OPERATOR,Requires a digital sidecar and declared thresholds; not mystical gating.,"Spherical Throughput pp.1,3,5-9"
universal O(1),complexity,Constant time across infinite horizons.,At most: horizon-independent evaluation for a fixed closed expression.,OVERCLAIM CORRECTED BY CORPUS,"Event solving, compatibility, expression growth and branching are not universally constant.","Chronological pp.1,8; Spherical Throughput p.10"
zero memory,complexity,Infinite world stored as equations only.,Potential reduction by regeneration from seed/grammar and logging novelty.,OVERCLAIM CORRECTED BY CORPUS,"Parameters, calibration, external logs, branches and numerical state consume memory.","Chronological pp.1,8; Spherical Throughput p.10"
general AI / world-agent identity,AI,One algebraic substrate fuses physics and cognition.,"Research hypothesis about shared representation for perception, state and action.",SPECULATIVE / UNVALIDATED,"No learning rule, semantic grounding, benchmark or model compression proof is supplied.","Chronological pp.1,11; Spherical Throughput p.10"
