term,category,normalized_meaning,formal_role,source_pages,status
State manifold,core ontology,"The product space that carries position, time, phase, sheet, lineage address, and branch. It is the authoritative state space, not an image buffer.",Q = P^n x R_time x S^1_phase x Z2_sheet x A_address x B_branch,"S1 pp.5-6; S5 pp.1,9-11",canonical
Finite grammar,core ontology,A bounded generative rule set that produces closed dynamics and relation expressions instead of storing a complete object inventory.,G,"S1 pp.5-7,11-12; S5 pp.10-11",canonical
Relation algebra,core ontology,Declarative equations or predicates that define possible states and transition surfaces.,R_j(q;theta_j)=0,"S1 pp.1,5-7; S5 pp.1,9",canonical
Event,core ontology,A guard crossing that is admitted by support and compatibility. An event is not merely a geometric hit.,t* = min{t >= t0 : R_j(q(t))=0 and C<=0 and chi=1},"S1 pp.6-8; S6 pp.3,5,7",canonical
Transition,core ontology,The state update applied at an admitted event while preserving declared invariants and lineage.,"q(t*+) = T_j(q(t*-), context)",S1 pp.6-7,canonical
Invariant,core ontology,"A property that must persist across transitions, coordinate changes, or reconstruction.",I,"S1 pp.1,5-7,11; S5 pp.7-11",canonical
Exogenous log,information science,A record of irreducible external novelty that cannot be regenerated from seed and grammar.,L,"S1 pp.6,8,11-12; S5 pp.10-11",canonical
Novelty-proportional memory,information science,Memory discipline in which closed dynamics are regenerated and storage grows with external novelty and necessary branch history rather than geometric extent alone.,M ~ seed + grammar + log + branch history,"S1 pp.8,11-12; S5 pp.10-11",bounded hypothesis
Lineage,information science,"Persistent provenance through splits, merges, transitions, and coordinate changes.",lineage(e),"S1 pp.1,5-8,11; S5 pp.6-8,11",canonical
Ontological address,information science,"A generative identity derived from seed, grammar path, and invariant history; normalized here as a provenance key rather than a literal magic UUID.","a_e = H(seed,path,lineage)",S1 pp.5-6; S5 pp.6-8,normalized operator
Branch,information science,"A version, fork, or counterfactual path in the state evolution. Branch history is a real cost and can explode.",b_e,"S1 pp.5-8,11",canonical
State-at-time query,query API,Direct evaluation of a closed state expression at time t without replaying every intermediate frame. Horizon independence is only plausible for fixed bounded expressions.,"state_at(e,t)","S1 pp.7-8,10-12",canonical bounded claim
Next-event query,query API,Find the earliest compatible relation crossing after t0. Cost is compatibility plus root/event solving plus branch resolution.,"next_event(e,t0)","S1 pp.7-8,10-12",canonical
Events-in-support query,query API,Enumerate admitted events inside a local radial-angular or causal support.,"events_in_support(C_alpha,t0,t1)","S1 pp.6-7,11",canonical
Compatibility predicate,core ontology,"A Boolean or typed predicate controlling whether co-located states, channels, or relations may couple.","chi(e,j,t) in {0,1}","S1 pp.6-8; S5 pp.13-16,32-33; S6 pp.3,5,7",canonical
Local spherical support,topology/query,"A local chart for radial reach, angular support, orientation, field of view, uncertainty, or domain of dependence. It is not a global spherical remeshing.","C_alpha(q,t)<=0","S1 pp.1,5-7,9-10; S6 pp.3,6",canonical
Cone,topology/query,"An analytic relevance, causal, sensing, collision, memory, or grammar support. It is not intrinsically a ray bundle.",C_alpha,"S1 pp.1,5-7,10; S2 pp.14-19",canonical normalized operator
Shell,topology/query,A radial support boundary or nested relevance band around a local origin.,"r in [r0,r1]","S1 pp.1,5-6",normalized operator
SDF zero / B=0,topology/event,The explicit transition or guard surface where event semantics are invoked. It should not be confused with continuing to sample through an SDF.,B(q)=0 or f(q)=0,"S1 pp.5-7; S2 pp.16-19; S5 p.54; S6 pp.3,5,7",canonical
Signed distance field,geometry,An implicit scalar field that may define geometry or guards. In the mature reading it is evaluated as a relation; raymarching is optional downstream behavior.,f(q),"S1 pp.7,9-10; S7 pp.1-2",canonical with projection variant
Double vacuum,topology/information,"Phase-separated co-location: two states may share spatial coordinates yet fail to interact because phase, sheet, orientation, address, or policy are incompatible. The second vacuum is absence of coupling.",same x; chi=0,"S1 p.6; S2 pp.14-19; S5 pp.32-33; S6 pp.2,4",canonical
Phase sheet,topology/information,A sector or namespace that labels co-located states and participates in compatibility.,sigma in Z2 or finite sheet set,"S1 pp.5-6; S5 pp.13-15,32-33",canonical
One-bit parity,routing,"A narrow route, orientation, validity, freshness, or availability flag. It is not the full world state.",p <- NOT p,"S1 pp.5-7; S5 pp.33,44-47,54; S6 pp.2,7",canonical narrow role
Pinch point,routing/topology,A rank-changing event locus at the center of the hourglass routing visualization. It becomes meaningful only with an explicit guard and transition map.,B=0,"S1 p.6; S2 pp.24-25; S5 pp.33,54",normalized operator
Quad hourglass,routing/topology,"A four-chamber routing partition with a central event locus and sheet/orientation transitions. It is a disciplined visualization, not a topology proof.",four chambers + pinch,"S1 p.6; S2 pp.23-25; S5 pp.32-33,54",normalized operator
Klein bottle,topology,"An orientation-reversing gluing or routing abstraction. A usable implementation must specify ports, transition functions, orientation map, and transfer matrix.",quotient/gluing map,"S1 pp.2,6; S2 pp.7-10,16-19; S6 pp.2,5,10",demoted from literal physics
Mobius strip,topology/metaphor,A one-sided continuity and inversion motif used in the optical/art narrative. It can motivate orientation reversal but is not required by the formal core.,local orientation flip,S3 pp.5-10,metaphorical / optional
Phi: angular coordinate,notation,The local angular coordinate or lighthouse incidence angle. Distinguish from phase schedule and golden ratio.,phi_angle,S2 pp.12-19; S5 pp.2-3,ambiguous source symbol
Phi: phase law,notation,"A phase coordinate or schedule used in compatibility and coupling. Irrational schedules are presented as heuristics, not proven requirements.",phi_phase(t),S1 pp.5-6; S2 pp.14-19; S5 pp.2-3,"canonical concept, heuristic schedule"
Golden ratio,notation/metaphor,An optional scaling or phase motif in exploratory sources. The mature architecture does not require the golden ratio.,phi_g=(1+sqrt(5))/2,S2 pp.12-19; S4 pp.10-11,speculative motif
Torque vector,geometry,"The corrected interpretation in the Ben Burgers document for twisting or folding an oval/phi-like cross-section. Use tau, not phi, to avoid symbol collision.",tau,S4 pp.11-14,geometric brainstorming
Eigenvector,linear algebra,"An invariant direction under a transformation, used as an anchor or stable mode.",A v = lambda v,"S2 pp.20-25; S5 pp.2,17,51",normalized operator
Eigenvalue zero,linear algebra/event,A rank-loss or null-space event used metaphorically as an off-state. In an implementation it must be tied to a defined operator and numerical tolerance.,lambda approx 0,"S2 pp.22-25; S5 pp.33,54",normalized with numerical guard
Null space,linear algebra,"The inactive or rejected subspace produced by a compatibility/kernel operation. It should mean algebraic exclusion, not physical disappearance.",ker A,"S2 pp.22-25; S5 pp.15,33",normalized operator
Overlap / weld zone,topology/information,"The slight overlap of folded D/phi shapes is read as intersection, tolerance buffer, constructive interference, or shared domain A intersect B.",A intersect B,S4 pp.16-19,metaphorical geometric operator
Zero-based timeline,information science,A reference-frame or indexing shift: an offset from index 0 identifies positions differently from 1-based counting. It does not change arithmetic.,index 0,S4 pp.1-6,corrected computing motif
Rasterization,computer graphics,A downstream projection that maps stored or computed geometry into pixels. The corpus rejects using the raster as the authoritative world model.,materialized image view,"S1 pp.1,9-10; S5 pp.1,9; S7",downstream projection
Raymarching,computer graphics,Repeated field sampling along projected directions. It may visualize an SDF but is explicitly not the mature core.,sample f along ray,"S1 pp.1,7,9-10; S2 pp.12-17",downstream / not core
Ray tracing,computer graphics,Transport or visibility path computation. It can consume the substrate but does not define the substrate.,path/visibility solver,S1 pp.9-10,downstream projection
Hybrid engine path,computer graphics,"A bridge architecture with stable geometric/graph world state plus optional cone integration, volumetrics, raymarching, or display stages.",core + projection stage,S1 p.9,supported bridge
Headless query-first path,computer science,"The preferred experiment: algebra, compatibility, events, transitions, lineage, and logs before images. Success is not visual fidelity.",query core,"S1 pp.9,11-12; S6 p.9",canonical prototype path
Log-polar chart,geometry/graphics,"A local coordinate transform rho=log r, theta=atan2(y,x). It supports radial multiscale addressing but introduces singularity and conditioning risks.","rho=ln r; theta=atan2(y,x)","S2 pp.12-19; S3 pp.2-3; S7 pp.1,7",projection/local chart
1-bit log-polar LUT,graphics/indexing,"In exploratory sources this alternates between active-sector mask, parity field, and output quantizer. The report separates these roles rather than treating one bit as the whole state.","mask(rho,theta)",S2 pp.12-19; S7 pp.1-5,role-overloaded proposal
Spherical LUT,sensing/graphics,"A radial-angular lookup or local sensory organization. It should be read as a local chart/index, not proof that atoms or the whole world are spherical records.","LUT(r,theta,phi)","S3 pp.14-20,24-33",metaphorical/local support
Sieve,information/graphics,"A filter or candidate-reduction stage: aperture, receptor mosaic, BVH, octree, mask, or compatibility filter. The corpus aims to replace broad materialization with analytic support and compatibility, not prove all indexing unnecessary.",filter/index,"S3 pp.13-15,24-33; S5 pp.14-16; S2 pp.30-32",normalized caution
Jitter / micro-saccade,sensing/graphics,"Controlled perturbation used to fill sampling gaps, dither quantization, or estimate sub-cell structure. It belongs to sensors and projections, not the invariant core.",epsilon(t),"S3 pp.13-15,24-33; S7 pp.8-10",projection/sensing operator
Feynman vector,graphics terminology,"The KC document uses this name for phase-amplitude vectors integrated near SDF boundaries. No formal path-integral derivation is supplied, so this report renames it a phase-amplitude edge accumulator.",A(p)=sum_k a_k exp(i phi_k),S7 pp.1-3,speculative / renamed for clarity
Phase-amplitude edge accumulator,graphics projection,"A source-faithful normalization of the KC Feynman-vector idea: accumulate weighted phase samples near an implicit boundary, then quantize for output.",A(p),S7 pp.1-3,decoder inference
Pulse-density modulation,display hardware,"A temporal 1-bit stream whose pulse density represents intensity. It is a possible output adapter for a physical display, not the state substrate.",PDM,S7 pp.4-6,projection-layer proposal
Anisotropic dithering,graphics/output,Log-radius- and angle-aware stochastic quantization used for screen or print output.,blue-noise threshold,"S7 pp.5,8-10",projection-layer proposal
