id,layer,domain,mechanism,source,definition,disposition,validation,implementation
M258,UGTS-KC 3.0 engineering expansion,Differential kinematics,Jet-state tower,UGTS-KC 3.0 engineering expansion,"Augment typed state with position, velocity, acceleration, jerk and snap, each with units and frame metadata.",ENGINEERING,Implemented + tested,kinematics.JetState
M259,UGTS-KC 3.0 engineering expansion,Differential kinematics,Material derivative,UGTS-KC 3.0 engineering expansion,Derivative of a field along a trajectory: Df/Dt = partial_t f + grad(f) dot v.,ENGINEERING,Implemented + tested,kinematics.material_derivative
M260,UGTS-KC 3.0 engineering expansion,Differential geometry,Covariant derivative contract,UGTS-KC 3.0 engineering expansion,Differentiate vector fields with an explicit connection or chart metric; ordinary component derivatives are not coordinate invariant.,ENGINEERING,Specified,schema differential.connection
M261,UGTS-KC 3.0 engineering expansion,Differential geometry,Lie bracket of vector fields,UGTS-KC 3.0 engineering expansion,"Commutator [X,Y]=DY*X-DX*Y used to expose noncommuting local flows.",ENGINEERING,Implemented + tested,kinematics.lie_bracket_2d
M262,UGTS-KC 3.0 engineering expansion,Lie kinematics,Adjoint frame transfer,UGTS-KC 3.0 engineering expansion,Transform twists and wrenches between rigid frames with the SE(3) adjoint.,ENGINEERING,Implemented + tested,kinematics.se3_adjoint
M263,UGTS-KC 3.0 engineering expansion,Lie kinematics,SE(3) left Jacobian,UGTS-KC 3.0 engineering expansion,Velocity-to-displacement Jacobian with stable small-angle series.,ENGINEERING,Implemented + tested,kinematics.so3_left_jacobian
M264,UGTS-KC 3.0 engineering expansion,Lie kinematics,SE(3) logarithm,UGTS-KC 3.0 engineering expansion,Recover a bounded rigid-body twist from a transform under a declared rotation branch.,ENGINEERING,Prototype + tested,kinematics.se3_log
M265,UGTS-KC 3.0 engineering expansion,Lie kinematics,Dual-quaternion rigid transform,UGTS-KC 3.0 engineering expansion,Represent rotation and translation by a normalized real/dual quaternion pair.,ENGINEERING,Implemented + tested,kinematics.DualQuaternion
M266,UGTS-KC 3.0 engineering expansion,Lie kinematics,Dual-quaternion blending,UGTS-KC 3.0 engineering expansion,Weighted normalized blend for rigid transforms with hemisphere alignment; not a general deformation theorem.,ENGINEERING,Implemented + tested,kinematics.blend_dual_quaternions
M267,UGTS-KC 3.0 engineering expansion,Manifold kinematics,Geodesic interpolation,UGTS-KC 3.0 engineering expansion,Interpolate state on a declared manifold using exp/log or a retraction rather than component-wise blending.,ENGINEERING,Implemented + tested,kinematics.rigid_geodesic_interpolate
M268,UGTS-KC 3.0 engineering expansion,Manifold kinematics,Retraction update,UGTS-KC 3.0 engineering expansion,Map tangent increments back to a manifold when a full exponential is unavailable.,ENGINEERING,Specified,schema dynamics.retraction
M269,UGTS-KC 3.0 engineering expansion,Differential kinematics,Curvature and torsion invariant,UGTS-KC 3.0 engineering expansion,Compute curvature and torsion from first three derivatives with degeneracy status.,ENGINEERING,Implemented + tested,kinematics.curvature_and_torsion
M270,UGTS-KC 3.0 engineering expansion,Frame transport,Bishop-frame holonomy,UGTS-KC 3.0 engineering expansion,Accumulate net normal-frame rotation after parallel transport around a closed path.,ENGINEERING,Prototype + tested,kinematics.bishop_holonomy
M271,UGTS-KC 3.0 engineering expansion,Trajectory timing,Limit-aware time scaling,UGTS-KC 3.0 engineering expansion,"Compute monotone path timing under velocity, acceleration and jerk budgets.",ENGINEERING,Prototype + tested,kinematics.limit_aware_time_scale
